time,Data
14/09/2021,0.205741177
15/09/2021,0.21304954
16/09/2021,0.225341615
17/09/2021,0.231355311
18/09/2021,0.206370107
19/09/2021,0.32869258
20/09/2021,0.274788732
21/09/2021,0.216408451
22/09/2021,0.216702509
23/09/2021,0.213649123
24/09/2021,0.214647887
25/09/2021,0.200569395
